Antenna,Pad,Position X,Position Y,Position Z,Longitude,Latitude,High
DA62,A016,2225091.35346,-5440084.13829,-2481601.58482,-67.7545637837,-23.0284306246,5072.5648333
,A040,2225049.99766,-5440040.4071,-2481734.13018,-67.754775539,-23.0297293475,5072.75721568
,W202,2219249.26781,-5442883.93013,-2479846.84073,-67.8176035,-23.01250625,4739.12700001
,A102,2224823.26737,-5439912.68696,-2482221.74038,-67.75634999,-23.03449844,5075.753
,A030,2225037.56381,-5440079.08113,-2481661.08587,-67.75503045,-23.02901309,5072.793
DV07,A006,2225116.93441,-5440036.88105,-2481682.22105,-67.7541585722,-23.029220394,5072.7677346
DV16,A069,2224940.5522,-5440082.4535,-2481745.66242,-67.7559182131,-23.029833982,5074.95437126
,A130,2223499.47123,-5440629.58235,-2481762.91023,-67.77094005,-23.03011455,5045.891
DA44,A068,2224978.48301,-5440124.85729,-2481618.15071,-67.7557324513,-23.028585971,5074.4065091
,P409,2229232.59567,-5440043.537,-2477586.81499,-67.71705856,-22.98968727,4912.898
,A101,2224960.40702,-5440331.39881,-2481187.32721,-67.75665771,-23.024358,5075.529
,A049,2225117.52055,-5440013.50138,-2481730.13191,-67.754067,-23.02969382,5071.8
,A107,2224593.56517,-5440002.03618,-2482197.18775,-67.75875237,-23.03430957,5062.237
,A133,2223829.49029,-5440048.66419,-2482717.09783,-67.76581925,-23.03949501,5039.304
DA50,A045,2225029.43718,-5440046.03148,-2481742.74267,-67.7549818085,-23.0298099603,5073.75414115
,A009,2225096.84124,-5440069.06344,-2481629.0284,-67.754458636,-23.0287004189,5072.37153369
,A055,2225081.63061,-5440010.90648,-2481770.27562,-67.75438125,-23.03008359,5072.79
,A112,2224311.64429,-5440239.21283,-2481942.7275,-67.76217135,-23.03179839,5066.513
CM07,N601,2225088.38489,-5440120.20426,-2481526.21706,-67.7547236667,-23.0276909472,5072.76961079
DA45,A070,2225190.83483,-5439987.37044,-2481719.62431,-67.7533090666,-23.0295939686,5070.97492544
,A113,2225759.181,-5439620.7577,-2481972.18327,-67.74682787,-23.03212918,5055.563
,P404,2228200.82879,-5439780.08223,-2479178.75574,-67.72539029,-23.00514773,4950.37200001
,A097,2225042.4637,-5439863.64794,-2482137.77868,-67.75419118,-23.03366858,5077.494
,J511,2225070.64954,-5440112.48396,-2481558.82734,-67.754855196,-23.0280106479,5072.77067951
DA55,A080,2225159.99737,-5440119.84821,-2481460.08071,-67.754076221,-23.0270472525,5071.54634279
DA49,A029,2225041.62432,-5440095.62906,-2481621.8925,-67.7550548812,-23.0286281596,5072.97120934
,A127,2224470.47502,-5440844.73596,-2480525.66135,-67.76297205,-23.01784126,5083.412
,A108,2225716.02402,-5439801.68032,-2481611.03897,-67.74788515,-23.02859705,5053.338
,A132,2224984.11166,-5440962.66941,-2479796.8951,-67.7587730086,-23.0107184535,5077.89042325
DA48,A046,2225057.58714,-5440043.94976,-2481719.68209,-67.7547201347,-23.0295876624,5072.76684921
,A008,2225111.26845,-5440053.34266,-2481650.39911,-67.7542704463,-23.0289099518,5072.36708143
DV25,A056,2225095.79507,-5440008.2624,-2481762.35062,-67.7542436891,-23.0300074954,5072.37238887
,A114,2224792.71486,-5440534.10788,-2480893.08018,-67.75891867,-23.0214765,5074.711
PM03,T701,2225043.38091,-5440142.74776,-2481517.20041,-67.7552129162,-23.0276025635,5072.76602408
,A098,2225373.23693,-5440105.95439,-2481289.09539,-67.752101,-23.0253879,5067.13
,P403,2228694.42493,-5439552.68581,-2479195.69262,-67.7200982,-23.00537058,4935.538
,A047,2225068.52316,-5440025.79721,-2481749.55219,-67.75455447,-23.02988038,5072.8
,A028,2225056.07258,-5440094.09652,-2481612.35528,-67.7549188628,-23.0285346678,5072.96867168
